종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"073540","에프알텍","1478","-13","-0.87","175","8.45",,,"5098","0.29","0","0.00"
"064850","에프앤가이드","7410","-260","-3.39","680","10.90",,,"5183","1.43","180","2.43"
"036810","에프에스티","31000","650","2.14",,,,,"12205","2.54","50","0.16"
"173940","에프엔씨엔터","3045","-165","-5.14",,,,,"2407","1.27","0","0.00"
"083500","에프엔에스테크","13140","0","0.00","222","59.19",,,"8014","1.64","80","0.61"
"054940","엑사이엔씨","812","2","0.25",,,,,"1836","0.44","0","0.00"
"373110","엑셀세라퓨틱스","6810","-390","-5.42",,,,,"260","26.19","0","0.00"
"205100","엑셈","2065","-5","-0.24","145","14.24",,,"1464","1.41","28","1.36"
"356680","엑스게이트","4055","-65","-1.58","11","368.64",,,"1418","2.86","0","0.00"
"070300","엑스큐어","10400","320","3.17",,,,,"2922","3.56","0","0.00"
